DATETIME, SUN-ELEVATION, SUN-AZIMUTH, SUN-RAA, SUN-DEC, V-EL, V-AZ, GIRI-EL, GIRI-AZ
2024-05-28 09:01:55.962291+00:00, 52.45950430715663, 119.40602849026833, 65.3657, 20.7695, 20000000, 20000000, 2719, 3693
2024-05-28 09:02:01.738473+00:00, 51.547910702029064, 117.72284277597494, 66.8657, 20.7695, 1145248, 2111552, 2751, 3634
2024-05-28 09:02:21.752154+00:00, 51.625917893105516, 117.77938761383675, 66.8657, 20.8045, 20000000, 20000000, 2748, 3636
2024-05-28 09:02:26.773775+00:00, 52.5645400216506, 119.51803796180556, 65.3657, 20.8045, 1181037, 2183130, 2715, 3697
2024-05-28 09:02:46.802749+00:00, 52.64203972196844, 119.57784145527768, 65.3657, 20.8395, 20000000, 20000000, 2712, 3699
2024-05-28 09:02:51.831894+00:00, 51.729976254620944, 117.88348522495784, 66.8657, 20.8395, 1145248, 2147341, 2744, 3639
2024-05-28 09:03:11.861455+00:00, 51.8079688303548, 117.94040218299092, 66.8657, 20.8745, 20000000, 20000000, 2742, 3641
2024-05-28 09:03:16.891130+00:00, 52.74512435919362, 119.68690180094208, 65.3657, 20.8745, 1181037, 2218919, 2709, 3703
2024-05-28 09:03:36.920194+00:00, 52.82256091955873, 119.74704409311298, 65.3657, 20.9095, 20000000, 20000000, 2706, 3705
2024-05-28 09:03:41.950297+00:00, 51.91195587920631, 118.04504981006926, 66.8657, 20.9095, 1145248, 2147341, 2738, 3645
2024-05-28 09:04:01.979008+00:00, 51.98988993725799, 118.10226450152093, 66.8657, 20.9445, 20000000, 20000000, 2735, 3647
2024-05-28 09:04:07.007930+00:00, 52.925536745672446, 119.8566679560867, 65.3657, 20.9445, 1181037, 2218919, 2702, 3709
2024-05-28 09:04:27.036373+00:00, 53.002907096521675, 119.91715137609212, 65.3657, 20.9795, 20000000, 20000000, 2700, 3711
2024-05-28 09:04:32.066560+00:00, 52.093777834217235, 118.20741974640191, 66.8657, 20.9795, 1145248, 2147341, 2732, 3651
2024-05-28 09:04:52.095278+00:00, 52.17165507607885, 118.26494041002769, 66.8657, 21.0145, 20000000, 20000000, 2729, 3653
2024-05-28 09:04:57.124710+00:00, 53.10577538796608, 120.02735365712904, 65.3657, 21.0145, 1181037, 2183130, 2696, 3714
2024-05-28 09:05:17.155240+00:00, 53.183084730483735, 120.08819822213661, 65.3657, 21.049500000000002, 20000000, 20000000, 2693, 3717
2024-05-28 09:05:22.184025+00:00, 52.27544930728287, 118.37062174484146, 66.8657, 21.049500000000002, 1145248, 2183130, 2725, 3656
2024-05-28 09:05:42.213414+00:00, 52.35327091237218, 118.42845585572705, 66.8657, 21.0845, 20000000, 20000000, 2722, 3658
2024-05-28 09:05:47.244860+00:00, 53.28584475575062, 120.19899234198928, 65.3657, 21.0845, 1145248, 2218919, 2690, 3720
2024-05-28 09:06:07.273629+00:00, 53.363080903920576, 120.26018732243642, 65.3657, 21.1195, 20000000, 20000000, 2687, 3723
2024-05-28 09:06:12.305644+00:00, 52.456976402870886, 118.53468111973908, 66.8657, 21.1195, 1145248, 2183130, 2719, 3662
