DATETIME, SUN-ELEVATION, SUN-AZIMUTH, SUN-RAA, SUN-DEC, V-EL, V-AZ, GIRI-EL, GIRI-AZ
2024-05-28 09:08:45.906797+00:00, 53.480188672135334, 121.39010242143144, 65.3972, 20.7746, 20000000, 20000000, 2684, 3748
2024-05-28 09:08:51.676817+00:00, 52.58593542690212, 119.64211868970948, 66.8972, 20.7746, 1109459, 2183130, 2715, 3687
2024-05-28 09:09:11.689772+00:00, 52.66336633771018, 119.70203906915712, 66.8972, 20.8096, 20000000, 20000000, 2712, 3689
2024-05-28 09:09:16.715079+00:00, 53.58402098007552, 121.50780345206633, 65.3972, 20.8096, 1145248, 2254708, 2680, 3752
2024-05-28 09:09:36.744371+00:00, 53.660877663736585, 121.57129588517829, 65.3972, 20.8446, 20000000, 20000000, 2677, 3755
2024-05-28 09:09:41.772670+00:00, 52.76637795094056, 119.811354948188, 66.8972, 20.8446, 1145248, 2218919, 2709, 3693
2024-05-28 09:10:01.800797+00:00, 52.843785528214724, 119.87168680568605, 66.8972, 20.8796, 20000000, 20000000, 2706, 3695
2024-05-28 09:10:06.830026+00:00, 53.76278494259024, 121.68597661875307, 65.3972, 20.8796, 1145248, 2290497, 2674, 3759
2024-05-28 09:10:26.858716+00:00, 53.83956947662066, 121.74984794370029, 65.3972, 20.9146, 20000000, 20000000, 2671, 3761
2024-05-28 09:10:31.888760+00:00, 52.946704256384805, 119.98159360520361, 66.8972, 20.9146, 1109459, 2218919, 2702, 3699
2024-05-28 09:10:51.916912+00:00, 53.024049323809336, 120.0422678888891, 66.8972, 20.9496, 20000000, 20000000, 2700, 3701
2024-05-28 09:10:56.949220+00:00, 53.94136911900404, 121.86518381991907, 65.3972, 20.9496, 1145248, 2290497, 2668, 3765
2024-05-28 09:11:16.977216+00:00, 54.01807977075499, 121.92943987583293, 65.3972, 20.9846, 20000000, 20000000, 2665, 3767
2024-05-28 09:11:22.005020+00:00, 53.12686157978669, 120.15274897406944, 66.8972, 20.9846, 1109459, 2218919, 2696, 3705
