N | DATETIME | POS-RAA | POS-DEC | POS-AZ | POS-EL | GIRI-AZ | GIRI-EL | VEL-AZ | VEL-EL
1 | 10h49m37s | 66.39052409248161 | 21.040300000000002 | 161.6472534187299 | 64.22056135717065 | -6809.725341872989 | 90.05613571706544 | 20000000 | 20000000
1 | 10h49m57s | 67.9976759075184 | 21.040300000000002 | 158.50707965261415 | 63.85580553812549 | -6495.707965261416 | 53.580553812548715 | 11238375 | 1305425
2 | 10h50m18s | 67.99778387161479 | 21.0603 | 158.67340766085235 | 63.89729993633791 | -6512.340766085235 | 57.729993633790855 | 20000000 | 20000000
2 | 10h50m38s | 66.39041612838523 | 21.0603 | 162.1698802073071 | 64.29513497267624 | -6861.988020730711 | 97.51349726762373 | 12513533 | 1423812
3 | 10h50m59s | 66.39030803732122 | 21.0803 | 162.34352458515815 | 64.33323319740181 | -6879.352458515816 | 101.32331974018098 | 20000000 | 20000000
3 | 10h51m19s | 67.99789196267879 | 21.0803 | 159.18270032570825 | 63.98031599231373 | -6563.270032570825 | 66.03159923137264 | 11312281 | 1263056
4 | 10h51m40s | 67.99800018078798 | 21.1003 | 159.350499348202 | 64.02118284803274 | -6580.049934820199 | 70.11828480327358 | 20000000 | 20000000
4 | 10h52m00s | 66.39019981921203 | 21.1003 | 162.87001279909038 | 64.40582496538858 | -6932.001279909038 | 108.58249653885741 | 12595994 | 1376596
5 | 10h52m21s | 66.39009147397995 | 21.1203 | 163.0452154282866 | 64.44326253869883 | -6949.521542828661 | 112.3262538698832 | 20000000 | 20000000
5 | 10h52m41s | 67.99810852602006 | 21.1203 | 159.8640705521274 | 64.10234639888638 | -6631.40705521274 | 78.23463988863841 | 11385006 | 1220105
6 | 10h53m02s | 67.99821699845285 | 21.1403 | 160.03335228727323 | 64.14257809267596 | -6648.335228727323 | 82.25780926759626 | 20000000 | 20000000
6 | 10h53m22s | 66.38998300154717 | 21.1403 | 163.57471118381264 | 64.51376927322477 | -7002.471118381263 | 119.3769273224766 | 12674177 | 1328456
7 | 10h53m43s | 66.38987440183574 | 21.1603 | 163.751360964077 | 64.55052748546842 | -7020.136096407701 | 123.05274854684194 | 20000000 | 20000000
7 | 10h54m03s | 67.99832559816427 | 21.1603 | 160.55030213093383 | 64.22176083204616 | -6700.030213093383 | 90.17608320461568 | 11456276 | 1176623
8 | 10h54m24s | 67.99843432523238 | 21.1803 | 160.7211850886266 | 64.26136243522315 | -6717.118508862661 | 94.136243522315 | 20000000 | 20000000
8 | 10h54m44s | 66.38976567476763 | 21.1803 | 164.28446016955488 | 64.61898845972989 | -7073.446016955488 | 129.89884597298897 | 12752613 | 1279908
9 | 10h55m05s | 66.38965682026469 | 21.200300000000002 | 164.4624714738784 | 64.65505170198217 | -7091.2471473878395 | 133.50517019821746 | 20000000 | 20000000
9 | 10h55m26s | 67.99854317973532 | 21.200300000000002 | 161.24174003105588 | 64.33857134472771 | -6769.174003105589 | 101.85713447277112 | 11526683 | 1132652
10 | 10h55m47s | 67.99865216175141 | 21.2203 | 161.4140857855672 | 64.37751874870312 | -6786.40857855672 | 105.75187487031235 | 20000000 | 20000000
10 | 10h56m07s | 66.3895478382486 | 21.2203 | 164.99880799419762 | 64.72141549488931 | -7144.880799419761 | 140.14154948893156 | 12829370 | 1230772
11 | 10h56m28s | 66.38943872864101 | 21.2403 | 165.1782024629175 | 64.75677862690999 | -7162.820246291751 | 143.67786269099906 | 20000000 | 20000000
11 | 10h56m48s | 67.998761271359 | 21.2403 | 161.9381183867557 | 64.45272106346403 | -6838.811838675569 | 113.27210634640232 | 11595944 | 1088192
12 | 10h57m09s | 67.99887050863661 | 21.2603 | 162.11191939468344 | 64.49100560372327 | -6856.191939468345 | 117.10056037232653 | 20000000 | 20000000
12 | 10h57m29s | 66.3893294913634 | 21.2603 | 165.7178598270612 | 64.82103525798911 | -7216.78598270612 | 150.10352579891105 | 12905308 | 1181143
13 | 10h57m50s | 66.38922012633711 | 21.2803 | 165.89862444640286 | 64.8556899319278 | -7234.862444640286 | 153.56899319278 | 20000000 | 20000000
13 | 10h58m10s | 67.9989798736629 | 21.2803 | 162.63958483625063 | 64.56419830128715 | -6908.958483625063 | 124.41983012871515 | 11663784 | 1043220
14 | 10h58m31s | 67.99908936651659 | 21.3003 | 162.81482465507224 | 64.60181037074771 | -6926.482465507224 | 128.1810370747712 | 20000000 | 20000000
14 | 10h58m51s | 66.38911063348343 | 21.3003 | 166.44231954781642 | 64.91787546034122 | -7289.231954781642 | 159.787546034122 | 12982449 | 1131166
15 | 10h59m12s | 66.38900101272347 | 21.3203 | 166.62443641990603 | 64.9518122580371 | -7307.443641990603 | 163.18122580370937 | 20000000 | 20000000
15 | 10h59m32s | 67.99919898727654 | 21.3203 | 163.3468204798899 | 64.67303855847233 | -6979.682047988992 | 135.30385584723263 | 11730267 | 997703
16 | 10h59m53s | 67.99930873602175 | 21.3403 | 163.52350004940163 | 64.70996958524664 | -6997.350004940163 | 138.99695852466402 | 20000000 | 20000000
16 | 11h00m13s | 66.38889126397827 | 21.3403 | 167.17042770623235 | 65.0117761014497 | -7362.042770623235 | 169.17761014496955 | 13051997 | 1080136
17 | 11h00m34s | 66.38878138716872 | 21.3603 | 167.35387964680325 | 65.04498772470357 | -7380.387964680325 | 172.49877247035738 | 20000000 | 20000000
17 | 11h00m54s | 67.99941861283129 | 21.3603 | 164.05811110452086 | 64.77905113197859 | -7050.811110452087 | 145.905113197859 | 11795233 | 951761
18 | 11h01m15s | 67.9995286177844 | 21.380300000000002 | 164.23685099537025 | 64.81534907651657 | -7068.685099537024 | 149.5349076516568 | 20000000 | 20000000
