N | DATETIME | POS-RAA | POS-DEC | POS-AZ | POS-EL | GIRI-AZ | GIRI-EL | VEL-AZ | VEL-EL
1 | 11h48m01s | 66.47444966741718 | 21.0726 | 193.43976294881872 | 64.69529247921145 | -9988.976294881872 | 137.52924792114482 | 20000000 | 20000000
1 | 11h48m21s | 68.08195033258282 | 21.0726 | 190.13680800192367 | 64.9084108845844 | -9658.680800192367 | 158.84108845844003 | 11820953 | 762729
2 | 11h48m42s | 68.08216679805098 | 21.1126 | 190.34010218103302 | 64.93724468709495 | -9679.010218103302 | 161.72446870949443 | 20000000 | 20000000
2 | 11h49m02s | 66.47423320194902 | 21.1126 | 194.0044375729341 | 64.69255349823851 | -10045.443757293411 | 137.25534982385125 | 13114298 | 875725
3 | 11h49m23s | 66.4740162277978 | 21.1526 | 194.21011249655842 | 64.71698429999107 | -10066.011249655843 | 139.6984299991068 | 20000000 | 20000000
3 | 11h49m43s | 68.08238377220219 | 21.1526 | 190.9086139571934 | 64.94419673906297 | -9735.861395719341 | 162.41967390629725 | 11815740 | 813171
4 | 11h50m04s | 68.08260125566001 | 21.1926 | 191.11275295414774 | 64.97216975833611 | -9756.275295414775 | 165.21697583361083 | 20000000 | 20000000
4 | 11h50m24s | 66.47379874433999 | 21.1926 | 194.77520750598188 | 64.71182703222215 | -10122.520750598189 | 139.1827032222145 | 13107567 | 931741
5 | 11h50m45s | 66.47358075095018 | 21.2326 | 194.98159070568988 | 64.73537843417459 | -10143.159070568989 | 141.53784341745904 | 20000000 | 20000000
5 | 11h51m05s | 68.08281924904982 | 21.2326 | 191.68238054119476 | 64.97668253137043 | -9813.238054119476 | 165.66825313704294 | 11807551 | 863603
6 | 11h51m26s | 68.08303775299892 | 21.2726 | 191.88740861445075 | 65.00378518795064 | -9833.740861445074 | 168.37851879506388 | 20000000 | 20000000
6 | 11h51m46s | 66.47336224700108 | 21.2726 | 195.5463242590549 | 64.72785784165536 | -10199.632425905489 | 140.78578416553637 | 13094901 | 987517
7 | 11h52m07s | 66.47314323186357 | 21.3126 | 195.75328648764102 | 64.75053520405301 | -10220.328648764102 | 143.0535204053008 | 20000000 | 20000000
7 | 11h52m27s | 68.08325676813642 | 21.3126 | 192.45706922013022 | 65.00591633384528 | -9890.706922013022 | 168.591633384528 | 11796839 | 913984
8 | 11h52m48s | 68.08347629509335 | 21.3526 | 192.66274694665435 | 65.03215905072753 | -9911.274694665435 | 171.21590507275278 | 20000000 | 20000000
