N | DATETIME | POS-RAA | POS-DEC | POS-AZ | POS-EL | GIRI-AZ | GIRI-EL | VEL-AZ | VEL-EL
1 | 09h55m41s | 66.39052409248161 | 21.040300000000002 | 136.79194420004495 | 59.36481685975873 | -4324.1944200044945 | -395.51831402412654 | 20000000 | 20000000
1 | 09h56m01s | 67.9976759075184 | 21.040300000000002 | 134.4397379145173 | 58.620226230844324 | -4088.973791451731 | -469.9773769155677 | 8418316 | 2664817
2 | 09h56m22s | 67.99778387161479 | 21.0603 | 134.5523945679532 | 58.68064067366986 | -4100.23945679532 | -463.93593263301364 | 20000000 | 20000000
2 | 09h56m42s | 66.39041612838523 | 21.0603 | 137.17501338344513 | 59.50310974605184 | -4362.501338344513 | -381.68902539481587 | 9386096 | 2943536
3 | 09h57m03s | 66.39030803732122 | 21.0803 | 137.29442674513064 | 59.56184564936637 | -4374.442674513064 | -375.8154350633631 | 20000000 | 20000000
3 | 09h57m23s | 67.99789196267879 | 21.0803 | 134.9208839413969 | 58.8235673394283 | -4137.0883941396905 | -449.64326605716997 | 8494677 | 2642225
4 | 09h57m45s | 67.99800018078798 | 21.1003 | 135.03474187654803 | 58.88367154666006 | -4148.474187654802 | -443.6328453339938 | 20000000 | 20000000
4 | 09h58m05s | 66.39019981921203 | 21.1003 | 137.68135238881098 | 59.69911943225184 | -4413.135238881097 | -362.08805677481587 | 9471960 | 2918408
5 | 09h58m26s | 66.39009147397995 | 21.1203 | 137.8020780970103 | 59.757516743293436 | -4425.207809701031 | -356.2483256706564 | 20000000 | 20000000
5 | 09h58m46s | 67.99810852602006 | 21.1203 | 135.40695264420523 | 59.02567655900515 | -4185.695264420523 | -429.4323440994849 | 8571920 | 2619184
6 | 09h59m07s | 67.99821699845285 | 21.1403 | 135.5221428541801 | 59.08549984714973 | -4197.214285418009 | -423.45001528502735 | 20000000 | 20000000
6 | 09h59m27s | 66.38998300154717 | 21.1403 | 138.19262284847983 | 59.893667409938196 | -4464.262284847982 | -342.6332590061802 | 9557387 | 2892352
7 | 09h59m48s | 66.38987440183574 | 21.1603 | 138.3147541762101 | 59.95174090770544 | -4476.47541762101 | -336.82590922945565 | 20000000 | 20000000
