DATETIME	SUN-ELEVATION	SUN-AZIMUTH	SUN-RAA	SUN-DEC	V-EL	V-AZ	GIRI-EL	GIRI-AZ
2024-07-16T13:50:32	53.15558532292433, 237.63313404191402	117.12647459656003	20.6559, 20000000	20000000	3917.5585322924335	-19808.3134041914
2024-07-16T13:50:47	54.04777315027546	235.72544223993268	118.72952540343996	20.6559	3193053	11628888	4006.777315027546	-19617.544223993267
2024-07-16T13:50:35	54.196773878886155, 235.81556505838768	118.73032000607003	20.8059, 20000000	20000000	4021.677387888615	-19626.55650583877
2024-07-16T13:50:50	53.22891732245157	237.8799879034407	117.12567999392996	20.8059	3463864	12342346	3924.891732245157	-19832.99879034407
2024-07-16T13:50:37	53.375859568287225, 237.97542564523414	117.12487830428861	20.9559, 20000000	20000000	3939.5859568287224	-19842.542564523414
2024-07-16T13:50:52	54.27335050989237	236.06455624206808	118.73112169571138	20.9559	3212032	11711926	4029.335050989237	-19651.455624206807
2024-07-16T13:50:40	54.42203151684638, 236.15652616203016	118.73193050463561	21.1059, 20000000	20000000	4044.203151684638	-19660.652616203017
2024-07-16T13:50:55	53.44852375299289	238.22410074628482	117.12406949536438	21.1059	3484089	12425006	3946.8523752992887	-19867.410074628482
2024-07-16T13:50:42	53.59509659654469, 238.32141583161578	117.12325353452255	21.2559, 20000000	20000000	3961.509659654469	-19877.141583161578
2024-07-16T13:50:57	54.49792349803413	236.4074942918353	118.73274646547745	21.2559	3231129	11794998	4051.7923498034133	-19685.74942918353
