DATETIME	SUN-ELEVATION	SUN-AZIMUTH	SUN-RAA	SUN-DEC	V-EL	V-AZ	GIRI-EL	GIRI-AZ
2024-07-16T13:46:10	53.79399425532881, 236.28564945401445	117.12647459656003	20.6559, 20000000	20000000	3981.3994255328817	-19673.564945401446
2024-07-16T13:46:25	54.67182454799422	234.32977572514883	118.72952540343996	20.6559, 3141668	12105098	4069.182454799422	-19477.977572514883
2024-07-16T13:46:13	54.821504474529824, 234.41789525053505	118.73032000607003	20.8059, 20000000	20000000	4084.150447452982	-19486.789525053504
2024-07-16T13:46:28	53.869119478794524	236.5347229932058	117.12567999392996	20.8059, 3408492	12848561	3988.911947879453	-19698.47229932058
2024-07-16T13:46:15	54.01674242675416, 236.6285864068554	117.12487830428861	20.9559, 20000000	20000000	4003.6742426754163	-19707.85864068554
2024-07-16T13:46:30	54.89997767614838	234.66897053205562	118.73112169571138	20.9559, 3161012	12196879	4091.9977676148383	-19511.89705320556
2024-07-16T13:46:18	55.04934539391471, 234.75898344456158	118.73193050463561	21.1059, 20000000	20000000	4106.934539391471	-19520.898344456156
2024-07-16T13:46:33	54.09119055804855	236.87957914487373	117.12406949536438	21.1059, 3429142	12940230	4011.1190558048556	-19732.95791448737
2024-07-16T13:46:20	54.23845273203673, 236.97536734380844	117.12325353452255	21.2559, 20000000	20000000	4025.845273203673	-19742.536734380843
2024-07-16T13:46:35	55.1271270681523	235.01213941590757	118.73274646547745	21.2559, 3180478	12288778	4114.7127068152295	-19546.21394159076
