DATETIME, SUN-ELEVATION, SUN-AZIMUTH, SUN-RAA, SUN-DEC, V-EL, V-AZ, GIRI-EL, GIRI-AZ
2024-05-29 09:21:37.452173+00:00, 55.91642811403088, 126.28969053137388, 65.61209599629123, 20.9153, 20000000, 20000000, 2600, 3948
2024-05-29 09:21:48.238699+00:00, 55.019829233440035, 124.2610554672783, 67.21790400370878, 20.9153, 1109459, 2541020, 2631, 3877
2024-05-29 09:22:08.251023+00:00, 55.081281458368096, 124.34969544900193, 67.21799348386755, 20.932, 20000000, 20000000, 2629, 3880
2024-05-29 09:22:11.270326+00:00, 56.00953027792986, 126.45944730898162, 65.61200651613247, 20.932, 1145248, 2648387, 2597, 3954
2024-05-29 09:22:31.299177+00:00, 56.069957757077496, 126.55306859677206, 65.61191748439367, 20.9486, 20000000, 20000000, 2595, 3957
2024-05-29 09:22:34.330592+00:00, 55.157268970093384, 124.47116473942633, 67.21808251560634, 20.9486, 1145248, 2612598, 2627, 3884
2024-05-29 09:22:54.359725+00:00, 55.21865893057749, 124.56037066076517, 67.2181721716412, 20.9653, 20000000, 20000000, 2625, 3887
2024-05-29 09:22:57.391954+00:00, 56.14466697411337, 126.68067895767862, 65.61182782835881, 20.9653, 1181037, 2684176, 2592, 3962
2024-05-29 09:23:17.421759+00:00, 56.205061611334386, 126.77471929654934, 65.61173808405479, 20.982, 20000000, 20000000, 2590, 3965
2024-05-29 09:23:20.451732+00:00, 55.2946139536386, 124.68242744229657, 67.21826191594522, 20.982, 1145248, 2612598, 2622, 3892
2024-05-29 09:23:40.479657+00:00, 55.35581870221451, 124.77221766475594, 67.21835121038045, 20.9986, 20000000, 20000000, 2620, 3895
2024-05-29 09:23:43.507904+00:00, 56.279518421512805, 126.90308736206705, 65.61164878961957, 20.9986, 1181037, 2648387, 2587, 3969
2024-05-29 09:24:03.536349+00:00, 56.33979359981034, 126.99764668931766, 65.61155886917189, 21.0153, 20000000, 20000000, 2585, 3973
2024-05-29 09:24:06.566275+00:00, 55.431618609589215, 124.89488197926526, 67.21844113082813, 21.0153, 1145248, 2648387, 2617, 3899
2024-05-29 09:24:26.594103+00:00, 55.49279610029678, 124.98504822631321, 67.21853113967937, 21.032, 20000000, 20000000, 2615, 3902
2024-05-29 09:24:29.626158+00:00, 56.414180596689626, 127.12662124061528, 65.61146886032064, 21.032, 1145248, 2684176, 2583, 3977
2024-05-29 09:24:49.654055+00:00, 56.47425668333382, 127.2218173303268, 65.61137930278892, 21.048599999999997, 20000000, 20000000, 2581, 3981
2024-05-29 09:24:52.686303+00:00, 55.568387382000786, 125.10849547288534, 67.2186206972111, 21.048599999999997, 1109459, 2648387, 2612, 3907
2024-05-29 09:25:12.713946+00:00, 55.62945800885618, 125.19915192621151, 67.21871088247455, 21.065299999999997, 20000000, 20000000, 2610, 3910
2024-05-29 09:25:15.742424+00:00, 56.5484800467661, 127.3514843176345, 65.61128911752546, 21.065299999999997, 1145248, 2684176, 2578, 3985
2024-05-29 09:25:35.770635+00:00, 56.608518265859566, 127.44711154376517, 65.6111988437235, 21.081999999999997, 20000000, 20000000, 2576, 3988
2024-05-29 09:25:38.801844+00:00, 55.70497212440127, 125.32311541713831, 67.21880115627651, 21.081999999999997, 1109459, 2648387, 2607, 3914
2024-05-29 09:25:58.830157+00:00, 55.76585824845944, 125.41438166675002, 67.2188909773063, 21.098599999999998, 20000000, 20000000, 2605, 3917
2024-05-29 09:26:01.858433+00:00, 56.68249784500295, 127.57759072476945, 65.61110902269371, 21.098599999999998, 1145248, 2719965, 2573, 3993
2024-05-29 09:26:21.886355+00:00, 56.74241516825922, 127.6737590260893, 65.61101857221, 21.115299999999998, 20000000, 20000000, 2571, 3996
2024-05-29 09:26:24.917493+00:00, 55.84122418730692, 125.53899794675864, 67.21898142779001, 21.115299999999998, 1145248, 2648387, 2603, 3922
2024-05-29 09:26:44.947165+00:00, 55.90208335037614, 125.63066305203846, 67.21907196694767, 21.131999999999998, 20000000, 20000000, 2601, 3925
2024-05-29 09:26:47.975538+00:00, 56.81631459845536, 127.80485240149191, 65.61092803305235, 21.131999999999998, 1145248, 2719965, 2569, 4001
2024-05-29 09:27:08.003807+00:00, 56.87603052815659, 127.90167902599111, 65.61083794812143, 21.1486, 20000000, 20000000, 2566, 4004
2024-05-29 09:27:11.035657+00:00, 55.977224904848285, 125.75605824235923, 67.21916205187858, 21.1486, 1145248, 2684176, 2598, 3929
2024-05-29 09:27:31.063582+00:00, 56.037969935766135, 125.84822027853858, 67.21925276798856, 21.1653, 20000000, 20000000, 2596, 3932
2024-05-29 09:27:34.092030+00:00, 56.94976205715323, 128.03348825969894, 65.61074723201145, 21.1653, 1145248, 2755754, 2564, 4009
2024-05-29 09:27:54.120738+00:00, 57.00943670411178, 128.1307629496325, 65.61065642709161, 21.182, 20000000, 20000000, 2562, 4012
2024-05-29 09:27:57.150085+00:00, 56.113035460864644, 125.97416340313897, 67.2193435729084, 21.182, 1109459, 2684176, 2593, 3937
2024-05-29 09:28:17.178173+00:00, 56.17359082357709, 126.06694832848414, 67.21943392214502, 21.1986, 20000000, 20000000, 2591, 3940
2024-05-29 09:28:20.209564+00:00, 57.08292129718661, 128.26341230842877, 65.610566077855, 21.1986, 1145248, 2755754, 2559, 4017
2024-05-29 09:28:40.237834+00:00, 57.14247057570945, 128.36124375575776, 65.61047509571127, 21.2153, 20000000, 20000000, 2557, 4020
2024-05-29 09:28:43.268931+00:00, 56.24851471125827, 126.19359087362938, 67.21952490428875, 21.2153, 1109459, 2684176, 2588, 3945
2024-05-29 09:29:03.296619+00:00, 56.30903564297939, 126.28678029530636, 67.2196159753788, 21.232, 20000000, 20000000, 2586, 3948
2024-05-29 09:29:06.327629+00:00, 57.21586884401215, 128.4945259801898, 65.61038402462121, 21.232, 1109459, 2755754, 2555, 4025
2024-05-29 09:29:26.355351+00:00, 57.27521009355255, 128.5930274716916, 65.61029341067285, 21.2486, 20000000, 20000000, 2552, 4029
2024-05-29 09:29:29.384535+00:00, 56.383720374059905, 126.41420005350894, 67.21970658932716, 21.2486, 1145248, 2755754, 2584, 3952
2024-05-29 09:29:49.412709+00:00, 56.444128803091736, 126.50791454134745, 67.21979783791367, 21.2653, 20000000, 20000000, 2582, 3956
2024-05-29 09:29:52.445779+00:00, 57.348438479482134, 128.72705609602068, 65.61020216208634, 21.2653, 1145248, 2755754, 2550, 4033
2024-05-29 09:30:12.473428+00:00, 57.40773340062339, 128.8260193091971, 65.61011082441655, 21.282, 20000000, 20000000, 2548, 4037
2024-05-29 09:30:15.505337+00:00, 56.51874867145346, 126.63593970693829, 67.21988917558346, 21.282, 1109459, 2755754, 2579, 3960
2024-05-29 09:30:35.533793+00:00, 56.57896359292528, 126.73029419312368, 67.21998005465117, 21.298599999999997, 20000000, 20000000, 2577, 3963
2024-05-29 09:30:38.563910+00:00, 57.48070745832782, 128.96090663589135, 65.61001994534884, 21.298599999999997, 1145248, 2791543, 2545, 4041
2024-05-29 09:30:58.592236+00:00, 57.53987524640353, 129.06045005430133, 65.60992842990899, 21.315299999999997, 20000000, 20000000, 2543, 4045
2024-05-29 09:31:01.622415+00:00, 56.65341724981953, 126.85899325411648, 67.22007157009102, 21.315299999999997, 1109459, 2755754, 2574, 3968
2024-05-29 09:31:21.650929+00:00, 56.713595412412886, 126.9537706449578, 67.2201631747516, 21.331999999999997, 20000000, 20000000, 2572, 3971
