DATETIME, SUN-ELEVATION, SUN-AZIMUTH, SUN-RAA, SUN-DEC, V-EL, V-AZ, GIRI-EL, GIRI-AZ
2024-05-29 08:26:54.649192+00:00, 47.48609634710069, 112.25459014252019, 64.7748068537577, 20.1889, 20000000, 20000000, 2895, 3456
2024-05-29 08:26:58.459438+00:00, 45.394444786476164, 109.16306855037844, 67.97119314624231, 20.1889, 2648387, 3865214, 2969, 3348
2024-05-29 08:27:18.472399+00:00, 45.47431419161021, 109.20661408766175, 67.97155251180502, 20.2239, 20000000, 20000000, 2966, 3349
2024-05-29 08:27:21.488285+00:00, 47.58430928497736, 112.33155465609434, 64.774447488195, 20.2239, 2648387, 3936792, 2892, 3459
2024-05-29 08:27:41.516761+00:00, 47.664041911778064, 112.38005062850544, 64.77408736420537, 20.2589, 20000000, 20000000, 2889, 3461
2024-05-29 08:27:44.545792+00:00, 45.57093058285368, 109.27423355178453, 67.97191263579464, 20.2589, 2648387, 3901003, 2963, 3352
2024-05-29 08:28:04.573440+00:00, 45.65080779362297, 109.31796259186078, 67.97227351899274, 20.2939, 20000000, 20000000, 2960, 3353
2024-05-29 08:28:07.603540+00:00, 47.76016364143035, 112.45412243231652, 64.77372648100727, 20.2939, 2648387, 3936792, 2886, 3463
2024-05-29 08:28:27.631728+00:00, 47.83985840547613, 112.50279305728793, 64.7733648378171, 20.328899999999997, 20000000, 20000000, 2883, 3465
2024-05-29 08:28:30.660752+00:00, 45.74741832591371, 109.38583365213104, 67.97263516218291, 20.328899999999997, 2612598, 3901003, 2956, 3356
2024-05-29 08:28:50.687812+00:00, 45.82726085924909, 109.42968735805074, 67.97299756615085, 20.3639, 20000000, 20000000, 2954, 3357
2024-05-29 08:28:53.701258+00:00, 47.93588170216637, 112.57705384352498, 64.77300243384916, 20.3639, 2648387, 3936792, 2880, 3467
2024-05-29 08:29:13.713711+00:00, 48.01549657781607, 112.62583578338199, 64.77263926831571, 20.398899999999998, 20000000, 20000000, 2877, 3469
2024-05-29 08:29:16.742581+00:00, 45.92373685015904, 109.49762732730522, 67.9733607316843, 20.398899999999998, 2612598, 3901003, 2950, 3360
2024-05-29 08:29:36.770085+00:00, 46.00354737751064, 109.54161116878237, 67.97372465957307, 20.433899999999998, 20000000, 20000000, 2947, 3361
2024-05-29 08:29:39.801164+00:00, 48.11151623232497, 112.70043692980374, 64.77227534042694, 20.433899999999998, 2612598, 3972581, 2874, 3472
2024-05-29 08:29:59.814294+00:00, 48.1910953604639, 112.74940159090949, 64.77191064939093, 20.468899999999998, 20000000, 20000000, 2871, 3474
2024-05-29 08:30:02.845817+00:00, 46.100036349760295, 109.60983536150722, 67.97408935060908, 20.468899999999998, 2612598, 3936792, 2944, 3364
2024-05-29 08:30:22.873664+00:00, 46.179814369563225, 109.65395059995264, 67.9744548055863, 20.503899999999998, 20000000, 20000000, 2941, 3365
2024-05-29 08:30:25.904960+00:00, 48.28707113117265, 112.82428425430824, 64.7715451944137, 20.503899999999998, 2648387, 3972581, 2867, 3476
2024-05-29 08:30:45.932990+00:00, 48.36665261879032, 112.87349446223905, 64.77117897469918, 20.538899999999998, 20000000, 20000000, 2865, 3478
2024-05-29 08:30:48.960676+00:00, 46.27628920971311, 109.7224230872056, 67.97482102530083, 20.538899999999998, 2612598, 3972581, 2938, 3367
2024-05-29 08:31:08.988982+00:00, 46.356034825902746, 109.76667182855476, 67.97518801055081, 20.5739, 20000000, 20000000, 2935, 3369
2024-05-29 08:31:12.017769+00:00, 48.462559501762534, 112.94862315531512, 64.7708119894492, 20.5739, 2648387, 4008370, 2861, 3481
2024-05-29 08:31:32.045116+00:00, 48.5421009597225, 112.99801501601297, 64.77044423786349, 20.6089, 20000000, 20000000, 2858, 3482
2024-05-29 08:31:35.073661+00:00, 46.45245765506387, 109.83534049045707, 67.97555576213652, 20.6089, 2648387, 3972581, 2932, 3371
2024-05-29 08:31:55.101383+00:00, 46.53216778748159, 109.87972013030786, 67.97592428086033, 20.6439, 20000000, 20000000, 2929, 3373
2024-05-29 08:31:58.132468+00:00, 48.63796137980938, 113.0734289006696, 64.77007571913968, 20.6439, 2648387, 4008370, 2855, 3485
2024-05-29 08:32:18.159994+00:00, 48.71746484585491, 113.12300836350474, 64.76970643247331, 20.6789, 20000000, 20000000, 2852, 3487
2024-05-29 08:32:21.191689+00:00, 46.628560232181734, 109.94861937107162, 67.9762935675267, 20.6789, 2612598, 4008370, 2925, 3375
2024-05-29 08:32:41.219037+00:00, 46.7082352506523, 109.99313239203912, 67.97666362294221, 20.7139, 20000000, 20000000, 2923, 3377
2024-05-29 08:32:44.231986+00:00, 48.81323007395655, 113.19863366687528, 64.7693363770578, 20.7139, 2648387, 4008370, 2849, 3489
2024-05-29 08:33:04.260482+00:00, 48.892697400914216, 113.24840633790723, 64.76896555208444, 20.7489, 20000000, 20000000, 2846, 3491
2024-05-29 08:33:07.292350+00:00, 46.8045347255821, 110.06217317714565, 67.97703444791557, 20.7489, 2612598, 4008370, 2919, 3379
2024-05-29 08:33:27.321430+00:00, 46.88418023167034, 110.10682966496277, 67.97740604325762, 20.7839, 20000000, 20000000, 2917, 3381
2024-05-29 08:33:30.333373+00:00, 48.988410849667424, 113.3243158404673, 64.7685939567424, 20.7839, 2648387, 4044159, 2843, 3494
2024-05-29 08:33:50.345618+00:00, 49.06779542399534, 113.37420970628585, 64.76822159021874, 20.8189, 20000000, 20000000, 2840, 3495
2024-05-29 08:33:53.359805+00:00, 46.98033716609055, 110.1759409932456, 67.97777840978127, 20.8189, 2612598, 4008370, 2913, 3383
2024-05-29 08:34:13.372690+00:00, 47.05990368775402, 110.2206695782239, 67.9781515483016, 20.8539, 20000000, 20000000, 2910, 3385
2024-05-29 08:34:16.403869+00:00, 49.16341491439273, 113.45033933821759, 64.76784845169841, 20.8539, 2612598, 4044159, 2837, 3498
2024-05-29 08:34:36.432204+00:00, 49.242803440435566, 113.5004962383451, 64.76747454036418, 20.8889, 20000000, 20000000, 2834, 3500
2024-05-29 08:34:39.460114+00:00, 47.15614876019491, 110.29019483284756, 67.97852545963583, 20.8889, 2612598, 4044159, 2907, 3387
2024-05-29 08:34:59.487731+00:00, 47.23572108722884, 110.33512314979518, 67.9789001446033, 20.9239, 20000000, 20000000, 2904, 3389
2024-05-29 08:35:02.500679+00:00, 49.33839536800428, 113.57695687986893, 64.76709985539671, 20.9239, 2612598, 4079948, 2831, 3503
2024-05-29 08:35:22.512883+00:00, 49.417700946255195, 113.62723972077904, 64.76672439597449, 20.9589, 20000000, 20000000, 2828, 3504
2024-05-29 08:35:25.543092+00:00, 47.33183098523827, 110.40473502104497, 67.97927560402552, 20.9589, 2612598, 4044159, 2901, 3391
