DATETIME, SUN-ELEVATION, SUN-AZIMUTH, SUN-RAA, SUN-DEC, V-EL, V-AZ, GIRI-EL, GIRI-AZ
2024-05-29 09:02:29.204200+00:00, 53.31216370932727, 120.02566694240123, 65.58971026827436, 21.1721, 20000000, 20000000, 2691, 3728
2024-05-29 09:02:40.023369+00:00, 52.35136374914557, 118.21010908894198, 67.19828973172565, 21.1721, 1216826, 2254708, 2725, 3665
2024-05-29 09:03:00.037366+00:00, 52.42905547283804, 118.2674034207616, 67.1984802193099, 21.2071, 20000000, 20000000, 2722, 3667
2024-05-29 09:03:03.060578+00:00, 53.424623628136665, 120.15534777096447, 65.58951978069011, 21.2071, 1252615, 2362075, 2687, 3733
2024-05-29 09:03:23.090791+00:00, 53.50200186698082, 120.21672343149801, 65.58932890251529, 21.242099999999997, 20000000, 20000000, 2685, 3735
2024-05-29 09:03:26.122265+00:00, 52.52237986947062, 118.35390170984006, 67.19867109748472, 21.242099999999997, 1216826, 2326286, 2719, 3670
2024-05-29 09:03:46.152040+00:00, 52.60006079218671, 118.4115464116441, 67.19886236667074, 21.277099999999997, 20000000, 20000000, 2716, 3672
2024-05-29 09:03:49.184623+00:00, 53.59469525649783, 120.30844118282754, 65.58913763332927, 21.277099999999997, 1252615, 2362075, 2681, 3738
2024-05-29 09:04:09.214900+00:00, 53.67201666992083, 120.370137142484, 65.58894597271038, 21.312099999999997, 20000000, 20000000, 2679, 3741
2024-05-29 09:04:12.247555+00:00, 52.69333963870553, 118.4984921260139, 67.19905402728963, 21.312099999999997, 1216826, 2362075, 2713, 3675
2024-05-29 09:04:32.277134+00:00, 52.77096830150036, 118.55641474787537, 67.19924607976421, 21.347099999999998, 20000000, 20000000, 2710, 3677
2024-05-29 09:04:35.309760+00:00, 53.76463129288887, 120.46231345432516, 65.5887539202358, 21.347099999999998, 1252615, 2397864, 2675, 3744
2024-05-29 09:04:55.340022+00:00, 53.84189503260235, 120.52433312896589, 65.58856147548168, 21.382099999999998, 20000000, 20000000, 2673, 3746
2024-05-29 09:04:58.372888+00:00, 52.8641744103775, 118.64376339919818, 67.19943852451833, 21.382099999999998, 1216826, 2362075, 2707, 3680
2024-05-29 09:05:18.402210+00:00, 52.94175043418213, 118.70196757793298, 67.19963136197701, 21.417099999999998, 20000000, 20000000, 2704, 3682
2024-05-29 09:05:21.432524+00:00, 53.934421412505465, 120.61695632394797, 65.588368638023, 21.417099999999998, 1216826, 2397864, 2670, 3749
2024-05-29 09:05:41.461973+00:00, 54.01162472614031, 120.67929957198442, 65.58817540743367, 21.452099999999998, 20000000, 20000000, 2667, 3751
2024-05-29 09:05:44.475327+00:00, 53.03482461888679, 118.78961351157213, 67.19982459256634, 21.452099999999998, 1216826, 2362075, 2701, 3685
2024-05-29 09:06:04.491469+00:00, 53.11231459363616, 118.84804035996899, 67.20001821671354, 21.487099999999998, 20000000, 20000000, 2698, 3687
2024-05-29 09:06:07.521013+00:00, 54.103983563445304, 120.77221788412184, 65.58798178328647, 21.487099999999998, 1216826, 2433653, 2664, 3755
2024-05-29 09:06:27.551002+00:00, 54.181129076759724, 120.83489526150272, 65.58778776515308, 21.5221, 20000000, 20000000, 2661, 3757
2024-05-29 09:06:30.580852+00:00, 53.20535630506762, 118.93617744109422, 67.20021223484693, 21.5221, 1216826, 2397864, 2695, 3690
2024-05-29 09:06:50.596349+00:00, 53.282792053875816, 118.99489199904022, 67.20040664739591, 21.5571, 20000000, 20000000, 2692, 3692
2024-05-29 09:06:53.630054+00:00, 54.27345399347372, 120.92838368235078, 65.5875933526041, 21.5571, 1216826, 2433653, 2658, 3760
2024-05-29 09:07:13.659274+00:00, 54.35053747398238, 120.99139308867602, 65.58739854520896, 21.5921, 20000000, 20000000, 2655, 3762
2024-05-29 09:07:16.693131+00:00, 53.37577777432714, 119.08348344462394, 67.20060145479106, 21.5921, 1216826, 2397864, 2689, 3695
2024-05-29 09:07:36.722700+00:00, 53.453196418942184, 119.14256237525306, 67.20079665746402, 21.6271, 20000000, 20000000, 2686, 3697
2024-05-29 09:07:39.753867+00:00, 54.442815877150004, 121.08543596801745, 65.58720334253599, 21.6271, 1216826, 2469442, 2652, 3766
2024-05-29 09:07:59.783755+00:00, 54.51983998652053, 121.14878948553174, 65.58700774415243, 21.6621, 20000000, 20000000, 2649, 3768
2024-05-29 09:08:02.814469+00:00, 53.54609349561355, 119.23155359454019, 67.20099225584758, 21.6621, 1216826, 2397864, 2683, 3701
2024-05-29 09:08:22.843515+00:00, 53.623456943607394, 119.29093017146965, 67.20118825037567, 21.6971, 20000000, 20000000, 2680, 3703
