DATETIME, SUN-ELEVATION, SUN-AZIMUTH, SUN-RAA, SUN-DEC, V-EL, V-AZ, GIRI-EL, GIRI-AZ
2024-05-29 10:11:34.040866+00:00, 62.21817470890563, 144.5640913017451, 66.07088739520127, 21.3202, 20000000, 20000000, 2379, 4588
2024-05-29 10:11:44.826157+00:00, 61.924877751480786, 143.30550022736736, 66.82231260479874, 21.3202, 843598, 3374393, 2390, 4544
2024-05-29 10:11:56.840500+00:00, 61.96077041905542, 143.37813818414, 66.82235536586107, 21.3369, 20000000, 20000000, 2388, 4547
2024-05-29 10:11:59.862474+00:00, 62.27697620158104, 144.7426746078322, 66.07084463413894, 21.3369, 843598, 3604465, 2377, 4594
2024-05-29 10:12:11.895129+00:00, 62.31226440666092, 144.81787215332386, 66.07080208784026, 21.3535, 20000000, 20000000, 2376, 4597
2024-05-29 10:12:14.924251+00:00, 62.00712771488102, 143.49596294078032, 66.82239791215974, 21.3535, 843598, 3527775, 2387, 4551
2024-05-29 10:12:26.952661+00:00, 62.04296747341317, 143.5690418685283, 66.82244075632218, 21.3702, 20000000, 20000000, 2385, 4553
2024-05-29 10:12:29.987956+00:00, 62.35781645308854, 144.938905663677, 66.07075924367783, 21.3702, 843598, 3681156, 2374, 4601
2024-05-29 10:12:42.016650+00:00, 62.39310686427453, 145.0143322890015, 66.07071635780835, 21.3869, 20000000, 20000000, 2373, 4604
2024-05-29 10:12:45.046016+00:00, 62.089305300734196, 143.68733885001487, 66.82248364219166, 21.3869, 843598, 3604465, 2384, 4557
2024-05-29 10:12:57.074078+00:00, 62.124977305064355, 143.76085074425313, 66.82252631261404, 21.4035, 20000000, 20000000, 2383, 4560
2024-05-29 10:13:00.102066+00:00, 62.438424853964314, 145.13591789652116, 66.07067368738596, 21.4035, 843598, 3681156, 2372, 4608
2024-05-29 10:13:12.128468+00:00, 62.47362980728426, 145.21168084387725, 66.0706307182877, 21.4202, 20000000, 20000000, 2370, 4611
2024-05-29 10:13:15.165580+00:00, 62.171185899243156, 143.87963436514397, 66.8225692817123, 21.4202, 843598, 3604465, 2381, 4564
2024-05-29 10:13:27.193655+00:00, 62.206869117641425, 143.95339142203864, 66.82261229258226, 21.4369, 20000000, 20000000, 2380, 4567
2024-05-29 10:13:30.223117+00:00, 62.518921400223384, 145.3337608716215, 66.07058770741774, 21.4369, 843598, 3681156, 2369, 4615
2024-05-29 10:13:42.252131+00:00, 62.55395819817984, 145.40999165032065, 66.07054491267924, 21.453500000000002, 20000000, 20000000, 2368, 4618
2024-05-29 10:13:45.282725+00:00, 62.252857551465304, 144.07275636222596, 66.82265508732077, 21.453500000000002, 766907, 3604465, 2378, 4571
2024-05-29 10:13:57.312866+00:00, 62.28846600138798, 144.14687264778317, 66.82269818154866, 21.470200000000002, 20000000, 20000000, 2377, 4573
2024-05-29 10:14:00.339880+00:00, 62.59910528915613, 145.53253847694018, 66.07050181845135, 21.470200000000002, 843598, 3757847, 2366, 4622
2024-05-29 10:14:12.366851+00:00, 62.634146511982316, 145.6090172830557, 66.07045868238687, 21.486900000000002, 20000000, 20000000, 2365, 4625
2024-05-29 10:14:15.393797+00:00, 62.334402936584354, 144.26658694946158, 66.82274131761314, 21.486900000000002, 766907, 3604465, 2375, 4578
2024-05-29 10:14:27.422899+00:00, 62.369841528007235, 144.34113776997273, 66.8227842368609, 21.503500000000003, 20000000, 20000000, 2374, 4580
2024-05-29 10:14:30.451415+00:00, 62.67906387990399, 145.73215312510862, 66.07041576313911, 21.503500000000003, 843598, 3757847, 2363, 4629
2024-05-29 10:14:42.480061+00:00, 62.71402456787351, 145.8090019927879, 66.07037254358707, 21.520200000000003, 20000000, 20000000, 2362, 4632
2024-05-29 10:14:45.507835+00:00, 62.41565781489456, 144.46139213413127, 66.82282745641294, 21.520200000000003, 766907, 3681156, 2372, 4584
2024-05-29 10:14:57.536528+00:00, 62.45110663553549, 144.53619361086413, 66.8228707178667, 21.536900000000003, 20000000, 20000000, 2371, 4587
2024-05-29 10:15:00.564298+00:00, 62.758897025029164, 145.93256529127825, 66.0703292821333, 21.536900000000003, 843598, 3757847, 2360, 4636
2024-05-29 10:15:12.591095+00:00, 62.79367976066838, 146.00985021979488, 66.07028623818246, 21.5535, 20000000, 20000000, 2359, 4639
2024-05-29 10:15:15.621115+00:00, 62.49670445850454, 144.65705511766285, 66.82291376181755, 21.5535, 843598, 3681156, 2370, 4591
2024-05-29 10:15:27.648603+00:00, 62.53207218988356, 144.73220061540562, 66.822957106889, 21.5702, 20000000, 20000000, 2368, 4594
2024-05-29 10:15:30.676465+00:00, 62.838417736245034, 146.13394609108457, 66.070242893111, 21.5702, 766907, 3757847, 2358, 4643
2024-05-29 10:15:42.704460+00:00, 62.8732079060707, 146.21150707155655, 66.07019950607246, 21.5869, 20000000, 20000000, 2356, 4646
2024-05-29 10:15:45.733250+00:00, 62.57763103817075, 144.85348554428128, 66.82300049392755, 21.5869, 843598, 3681156, 2367, 4598
2024-05-29 10:15:57.761717+00:00, 62.612830877667086, 144.9290909016436, 66.82304366277603, 21.6035, 20000000, 20000000, 2365, 4601
2024-05-29 10:16:00.791517+00:00, 62.91771979779006, 146.3362335671785, 66.07015633722398, 21.6035, 766907, 3757847, 2355, 4650
2024-05-29 10:16:12.819695+00:00, 62.95242359849079, 146.41415618177516, 66.07011286643714, 21.6202, 20000000, 20000000, 2354, 4653
2024-05-29 10:16:15.849440+00:00, 62.65826493489569, 145.05092256732314, 66.82308713356286, 21.6202, 766907, 3681156, 2364, 4605
2024-05-29 10:16:27.877394+00:00, 62.69347339244897, 145.12678984847372, 66.82313064638241, 21.6369, 20000000, 20000000, 2363, 4608
2024-05-29 10:16:30.906426+00:00, 62.99688613170111, 146.53931607109158, 66.0700693536176, 21.6369, 843598, 3757847, 2352, 4657
2024-05-29 10:16:42.934633+00:00, 63.0314107512433, 146.61769255053636, 66.0700260596762, 21.6535, 20000000, 20000000, 2351, 4660
2024-05-29 10:16:45.963690+00:00, 62.73868360072494, 145.24923384959354, 66.82317394032381, 21.6535, 766907, 3681156, 2361, 4612
2024-05-29 10:16:57.991611+00:00, 62.773810310870125, 145.3254658888385, 66.82321753702271, 21.6702, 20000000, 20000000, 2360, 4615
2024-05-29 10:17:01.021007+00:00, 63.07573102725594, 146.74338016911446, 66.0699824629773, 21.6702, 843598, 3757847, 2349, 4664
2024-05-29 10:17:13.048452+00:00, 63.11025574493123, 146.82202352057362, 66.06993882417981, 21.6869, 20000000, 20000000, 2348, 4667
2024-05-29 10:17:16.077017+00:00, 62.81897614944478, 145.44834055502255, 66.82326117582019, 21.6869, 766907, 3681156, 2358, 4619
2024-05-29 10:17:28.104961+00:00, 62.85392947208179, 145.52503589007387, 66.82330459505052, 21.703500000000002, 20000000, 20000000, 2357, 4622
2024-05-29 10:17:31.136295+00:00, 63.15434364673528, 146.94834802461202, 66.06989540494949, 21.703500000000002, 766907, 3834538, 2347, 4672
2024-05-29 10:17:43.164087+00:00, 63.18877771186065, 147.02736168619447, 66.06985168214108, 21.720200000000002, 20000000, 20000000, 2345, 4674
2024-05-29 10:17:46.194733+00:00, 62.8989675829049, 145.64848036991447, 66.82334831785893, 21.720200000000002, 766907, 3681156, 2355, 4626
2024-05-29 10:17:58.222808+00:00, 62.9339266500663, 145.72545315430997, 66.82339208283202, 21.736900000000002, 20000000, 20000000, 2354, 4629
2024-05-29 10:18:01.252426+00:00, 63.232812332162766, 147.15413692882507, 66.06980791716799, 21.736900000000002, 766907, 3834538, 2344, 4679
2024-05-29 10:18:13.281054+00:00, 63.26706398410841, 147.23361951881853, 66.069764372452, 21.753500000000003, 20000000, 20000000, 2343, 4682
2024-05-29 10:18:16.313689+00:00, 62.9787392104098, 145.84953996871585, 66.82343562754801, 21.753500000000003, 766907, 3757847, 2353, 4633
2024-05-29 10:18:28.341436+00:00, 63.01361138292857, 145.92688322733107, 66.82347947666408, 21.770200000000003, 20000000, 20000000, 2351, 4636
2024-05-29 10:18:31.372451+00:00, 63.31095669648042, 147.36096148216777, 66.06972052333593, 21.770200000000003, 766907, 3834538, 2341, 4686
2024-05-29 10:18:43.400361+00:00, 63.34520515941991, 147.44072263879661, 66.06967663198883, 21.786900000000003, 20000000, 20000000, 2340, 4689
2024-05-29 10:18:46.431401+00:00, 63.05837406698265, 146.0514103294829, 66.82352336801118, 21.786900000000003, 766907, 3757847, 2350, 4640
2024-05-29 10:18:58.459453+00:00, 63.09306842514589, 146.12922425379398, 66.82356703841029, 21.8035, 20000000, 20000000, 2349, 4643
2024-05-29 10:19:01.490275+00:00, 63.388856192335524, 147.56869086572027, 66.06963296158972, 21.8035, 843598, 3834538, 2338, 4693
2024-05-29 10:19:13.518166+00:00, 63.423010586683404, 147.6488308771722, 66.06958898596709, 21.8202, 20000000, 20000000, 2337, 4696
2024-05-29 10:19:16.546573+00:00, 63.13768599745848, 146.25427258334915, 66.82361101403292, 21.8202, 766907, 3757847, 2347, 4647
2024-05-29 10:19:28.575445+00:00, 63.17238336698624, 146.33237416749657, 66.82365503195318, 21.8369, 20000000, 20000000, 2346, 4650
2024-05-29 10:19:31.604713+00:00, 63.4665989988518, 147.77723323260926, 66.06954496804683, 21.8369, 766907, 3911228, 2336, 4701
2024-05-29 10:19:43.633759+00:00, 63.50056915111814, 147.857855269828, 66.06950117176642, 21.8535, 20000000, 20000000, 2334, 4703
2024-05-29 10:19:46.662817+00:00, 63.21676882097106, 146.4580629766439, 66.82369882823359, 21.8535, 766907, 3757847, 2344, 4654
2024-05-29 10:19:58.691991+00:00, 63.25137683826051, 146.5365430042824, 66.82374293056242, 21.8702, 20000000, 20000000, 2343, 4657
2024-05-29 10:20:01.720545+00:00, 63.544008381628686, 147.98681482402156, 66.06945706943759, 21.8702, 766907, 3911228, 2333, 4708
2024-05-29 10:20:13.748966+00:00, 63.57797429203518, 148.06772730977895, 66.0694129247443, 21.8869, 20000000, 20000000, 2332, 4711
2024-05-29 10:20:16.769848+00:00, 63.29569468194953, 146.66261002177689, 66.82378707525571, 21.8869, 766907, 3757847, 2342, 4662
2024-05-29 10:20:28.794006+00:00, 63.33011328802664, 146.74152087752677, 66.82383099761635, 21.9035, 20000000, 20000000, 2340, 4664
2024-05-29 10:20:31.823246+00:00, 63.62115229006965, 148.19723566753154, 66.06936900238365, 21.9035, 766907, 3911228, 2330, 4715
2024-05-29 10:20:43.852905+00:00, 63.65502498158699, 148.27854637263556, 66.06932477314827, 21.9202, 20000000, 20000000, 2329, 4718
2024-05-29 10:20:46.885798+00:00, 63.37430957490829, 146.8682451927192, 66.82387522685174, 21.9202, 766907, 3757847, 2339, 4669
2024-05-29 10:20:58.913893+00:00, 63.408734232628156, 146.94747193097825, 66.82391949851868, 21.9369, 20000000, 20000000, 2338, 4672
2024-05-29 10:21:01.943173+00:00, 63.69816846562861, 148.40865480470129, 66.06928050148133, 21.9369, 843598, 3911228, 2327, 4723
2024-05-29 10:21:13.971166+00:00, 63.73185124473812, 148.49043263735635, 66.06923645284078, 21.953500000000002, 20000000, 20000000, 2326, 4726
2024-05-29 10:21:17.004289+00:00, 63.45269235946192, 147.0748284430367, 66.82396354715922, 21.953500000000002, 766907, 3834538, 2336, 4676
2024-05-29 10:21:29.032224+00:00, 63.48702512009629, 147.15443354847105, 66.82400790350228, 21.970200000000002, 20000000, 20000000, 2335, 4679
2024-05-29 10:21:32.063242+00:00, 63.774845731198845, 148.62112078793996, 66.06919209649773, 21.970200000000002, 766907, 3911228, 2325, 4730
2024-05-29 10:21:44.091161+00:00, 63.808524320681016, 148.70320181159988, 66.0691476976558, 21.986900000000002, 20000000, 20000000, 2324, 4733
2024-05-29 10:21:47.121198+00:00, 63.53092616882966, 147.28223831976732, 66.82405230234421, 21.986900000000002, 690216, 3834538, 2333, 4683
2024-05-29 10:21:59.148990+00:00, 63.565075497120816, 147.3623161566077, 66.82409647746506, 22.003500000000003, 20000000, 20000000, 2332, 4686
2024-05-29 10:22:02.177793+00:00, 63.85126600870209, 148.83450303735026, 66.06910352253495, 22.003500000000003, 766907, 3987919, 2322, 4738
2024-05-29 10:22:14.204623+00:00, 63.88484657399148, 148.91697046207912, 66.06905903888237, 22.020200000000003, 20000000, 20000000, 2321, 4741
2024-05-29 10:22:17.233277+00:00, 63.60882251144957, 147.49063834019387, 66.82414096111764, 22.020200000000003, 766907, 3834538, 2331, 4691
