DATETIME, SUN-ELEVATION, SUN-AZIMUTH, SUN-RAA, SUN-DEC, V-EL, V-AZ, GIRI-EL, GIRI-AZ
2024-05-29 09:46:51.600856+00:00, 59.396023429785245, 134.27649778142572, 66.04989558418289, 21.317, 20000000, 20000000, 2478, 4228
2024-05-29 09:47:02.395315+00:00, 59.036506399709864, 133.19882327237474, 66.80130441581711, 21.317, 996979, 2914249, 2491, 4190
2024-05-29 09:47:14.409017+00:00, 59.076065685172956, 133.25685726082995, 66.80134716889836, 21.3337, 20000000, 20000000, 2489, 4192
2024-05-29 09:47:17.431159+00:00, 59.46421439687934, 134.42533482176614, 66.04985283110165, 21.3337, 996979, 3144321, 2476, 4233
2024-05-29 09:47:29.459640+00:00, 59.503372400359105, 134.48548096251474, 66.04981029274036, 21.3503, 20000000, 20000000, 2474, 4235
2024-05-29 09:47:32.490046+00:00, 59.12845139577319, 133.3535714990731, 66.80138970725964, 21.3503, 1073670, 3067630, 2488, 4195
2024-05-29 09:47:44.518236+00:00, 59.16799061838124, 133.41195055023874, 66.80143254343277, 21.367, 20000000, 20000000, 2486, 4197
2024-05-29 09:47:47.544784+00:00, 59.55523655885776, 134.58484875359446, 66.04976745656724, 21.367, 996979, 3144321, 2473, 4238
2024-05-29 09:47:59.573958+00:00, 59.59442726984608, 134.64516211934261, 66.0497245786912, 21.3837, 20000000, 20000000, 2471, 4241
2024-05-29 09:48:02.603243+00:00, 59.220384086179344, 133.50896958904664, 66.80147542130881, 21.3837, 996979, 3067630, 2484, 4201
2024-05-29 09:48:14.631383+00:00, 59.25978860783296, 133.56771118781464, 66.80151808378152, 21.4003, 20000000, 20000000, 2483, 4203
2024-05-29 09:48:17.660536+00:00, 59.64612190054898, 134.7450514539434, 66.04968191621849, 21.4003, 1073670, 3144321, 2469, 4244
2024-05-29 09:48:29.688602+00:00, 59.685256940868385, 134.80562762445183, 66.04963895512192, 21.417, 20000000, 20000000, 2468, 4246
2024-05-29 09:48:32.720173+00:00, 59.31210567286935, 133.66514416541995, 66.80156104487808, 21.417, 996979, 3067630, 2481, 4206
