DATE	RAA	DEC	ELEVATION	AZIMUTH	GIRI-EL	GIRI-AZ	V-EL	V-AZ
2024-08-21T11:13:55	55.03745042009252	173.4895247353539	149.9293371445481	11.2385	20000000	20000000	-828.2549579907482	11606.047526464608
2024-08-21T11:14:39	54.9113833794753	171.20616559475775	151.45866285545188	11.2385	451181	8171919	-840.8616620524695	11834.383440524225
2024-08-21T11:14:40	54.931707302302435	171.20944724140364	151.45871594326047	11.2585	20000000	20000000	-838.8292697697566	11834.055275859635
2024-08-21T11:14:55	55.07677446587998	173.9209849735287	149.9292840567395	11.2585	519181	9704328	-824.322553412002	11562.90150264713
2024-08-21T11:14:56	55.097037031240156	173.92576451139823	149.92923086836774	11.278500000000001	20000000	20000000	-822.2962968759844	11562.423548860177
2024-08-21T11:15:11	54.96521789943199	171.42617091832003	151.45876913163224	11.278500000000001	471767	8945801	-835.4782100568009	11812.382908167998
2024-08-21T11:15:13	54.98554337055481	171.42965981127534	151.4588224206011	11.2985	20000000	20000000	-833.4456629445194	11812.034018872466
2024-08-21T11:15:28	55.12637277052056	174.1454477102835	149.92917757939887	11.2985	504014	9719539	-819.3627229479439	11540.455228971652
2024-08-21T11:15:29	55.146628204073146	174.15033920921218	149.92912418979884	11.3185	20000000	20000000	-817.3371795926855	11539.966079078782
2024-08-21T11:15:44	55.01872032409893	171.64686495512746	151.45887581020114	11.3185	457769	8959689	-830.1279675901069	11790.313504487254
2024-08-21T11:15:45	55.03904014148898	171.6504486282777	151.45892930046637	11.3385	20000000	20000000	-828.0959858511019	11789.95513717223
2024-08-21T11:16:00	55.17561436272556	174.370377406325	149.9290706995336	11.3385	488785	9734359	-814.438563727444	11517.962259367501
2024-08-21T11:16:01	55.19586145448939	174.3753553525504	149.92901710856896	11.358500000000001	20000000	20000000	-812.4138545510609	11517.46446474496
2024-08-21T11:16:16	55.07187636430764	171.86803513414398	151.45898289143102	11.358500000000001	443730	8973454	-824.8123635692359	11768.196486585603
2024-08-21T11:16:17	55.09219085442018	171.87172179382	151.45903658312926	11.3785	20000000	20000000	-822.7809145579818	11767.827820618
2024-08-21T11:16:32	55.2244983108165	174.59577602085363	149.92896341687072	11.3785	473515	9749124	-809.5501689183502	11495.422397914637
2024-08-21T11:16:33	55.24473783088327	174.60086348590363	149.92890962440455	11.3985	20000000	20000000	-807.5262169116731	11494.913651409637
2024-08-21T11:16:48	55.124688467097506	172.0897423805111	151.45909037559542	11.3985	429644	8987057	-819.5311532902492	11746.025761948891
2024-08-21T11:16:49	55.144997303988035	172.0935293121806	151.45914426886384	11.4185	20000000	20000000	-817.5002696011966	11745.647068781938
2024-08-21T11:17:04	55.273025032539195	174.82168287413472	149.92885573113614	11.4185	458198	9763795	-804.6974967460806	11472.831712586529
2024-08-21T11:17:05	55.29325676014573	174.82687888281276	149.928801737031	11.438500000000001	20000000	20000000	-802.6743239854268	11472.312111718724
2024-08-21T11:17:20	55.17715343535571	172.31195127939569	151.45919826296898	11.438500000000001	415522	9000680	-814.2846564644287	11723.804872060431
