N | DATETIME | POS-RAA | POS-DEC | POS-AZ | POS-EL | GIRI-AZ | GIRI-EL | VEL-AZ | VEL-EL
09h28m40s | 149.89027302939635 | 11.6324 | 266.1591982904358 | 19.801549439310563 | 2339.0801709564175 | -4351.845056068943 | 20000000 | 20000000
09h28m55s | 151.42172697060366 | 11.6324 | 265.07410284503885 | 20.818119704378027 | 2447.589715496115 | -4250.188029562197 | 3883450 | 3638205
09h28m56s | 151.42178204532982 | 11.6524 | 265.0922990959415 | 20.82939305936917 | 2445.7700904058515 | -4249.060694063083 | 20000000 | 20000000
09h29m11s | 149.8902179546702 | 11.6524 | 266.26958734924705 | 19.725659643182816 | 2328.041265075295 | -4359.434035681719 | 4213399 | 3950154
09h29m12s | 149.8901627786993 | 11.6724 | 266.28775491360005 | 19.736830164679507 | 2326.2245086399944 | -4358.31698353205 | 20000000 | 20000000
09h29m27s | 151.4218372213007 | 11.6724 | 265.20343806816766 | 20.753729932550243 | 2434.6561931832343 | -4256.627006744976 | 3880664 | 3639384
09h29m28s | 151.4218924985516 | 11.6924 | 265.2216496741144 | 20.764979735777686 | 2432.8350325885585 | -4255.502026422231 | 20000000 | 20000000
09h29m43s | 149.8901075014484 | 11.6924 | 266.3982114824125 | 19.660782129417722 | 2315.178851758752 | -4365.921787058227 | 4210799 | 3951815
09h29m44s | 149.89005212288208 | 11.7124 | 266.4163749361938 | 19.671947883005906 | 2313.362506380621 | -4364.805211699409 | 20000000 | 20000000
09h29m59s | 151.42194787711793 | 11.7124 | 265.33284297767204 | 20.689161667696567 | 2421.7157022327956 | -4263.083833230343 | 3877855 | 3640508
09h30m00s | 151.42200335703518 | 11.7324 | 265.3510570281482 | 20.70040000235192 | 2419.8942971851793 | -4261.959999764807 | 20000000 | 20000000
09h30m15s | 149.88999664296483 | 11.7324 | 266.52665425095955 | 19.595973846110603 | 2302.3345749040445 | -4372.402615388939 | 4207347 | 3952633
09h30m16s | 149.88994106166112 | 11.7524 | 266.5448533277548 | 19.607097283655516 | 2300.514667224518 | -4371.290271634448 | 20000000 | 20000000
09h30m31s | 151.4220589383389 | 11.7524 | 265.46211004727775 | 20.624610097784448 | 2408.7889952722253 | -4269.538990221555 | 3875032 | 3641579
