N | DATETIME | POS-RAA | POS-DEC | POS-AZ | POS-EL | GIRI-AZ | GIRI-EL | VEL-AZ | VEL-EL
1 | 10h26m35s | 149.89027302939635 | 11.6324 | 276.55635058610505 | 9.720343814233933 | 1299.3649413894946 | -5359.965618576607 | 20000000 | 20000000
1 | 10h26m50s | 151.42172697060366 | 11.6324 | 275.51957337502074 | 10.734236869469798 | 1403.042662497926 | -5258.57631305302 | 3710524 | 3628624
2 | 10h26m51s | 151.42178204532982 | 11.6524 | 275.53687195985685 | 10.74552787272515 | 1401.3128040143147 | -5257.447212727485 | 20000000 | 20000000
2 | 10h27m06s | 149.8902179546702 | 11.6524 | 276.6620692562952 | 9.644932739514404 | 1288.793074370482 | -5367.506726048559 | 4026971 | 3938922
3 | 10h27m08s | 149.8901627786993 | 11.6724 | 276.67936327546704 | 9.656182295368383 | 1287.063672453296 | -5366.381770463162 | 20000000 | 20000000
3 | 10h27m23s | 151.4218372213007 | 11.6724 | 275.6427101214028 | 10.669982010598641 | 1390.7289878597212 | -5265.001798940136 | 3710080 | 3628290
4 | 10h27m24s | 151.4218924985516 | 11.6924 | 275.6600227771295 | 10.681256002703677 | 1388.9977222870516 | -5263.874399729632 | 20000000 | 20000000
4 | 10h27m39s | 149.8901075014484 | 11.6924 | 276.7852380498769 | 9.580617842482905 | 1276.4761950123093 | -5373.938215751709 | 4027035 | 3939076
5 | 10h27m40s | 149.89005212288208 | 11.7124 | 276.8025263069783 | 9.59187046904256 | 1274.747369302172 | -5372.812953095744 | 20000000 | 20000000
5 | 10h27m55s | 151.42194787711793 | 11.7124 | 275.76598307286184 | 10.605580911552664 | 1378.4016927138155 | -5271.441908844734 | 3709687 | 3627970
6 | 10h27m56s | 151.42200335703518 | 11.7324 | 275.783294550173 | 10.616852887748607 | 1376.6705449826977 | -5270.314711225139 | 20000000 | 20000000
6 | 10h28m11s | 149.88999664296483 | 11.7324 | 276.90824642768786 | 9.516458065685104 | 1264.1753572312145 | -5380.35419343149 | 4026092 | 3938205
7 | 10h28m12s | 149.88994106166112 | 11.7524 | 276.9255295601293 | 9.527713190807132 | 1262.447043987071 | -5379.2286809192865 | 20000000 | 20000000
7 | 10h28m27s | 151.4220589383389 | 11.7524 | 275.88912064053574 | 10.54130086645394 | 1366.0879359464261 | -5277.869913354606 | 3709206 | 3627531
